Customer,SP,Sales_2024,INCI,Sales_Product,Composition,Demand_2025,number_of_beauty_care_products_launched,Category,Sales_Demand_Ratio,Category_Sales_Ratio,Log_Sales_2024
Customer Asia,30785578.0,0.6,disodium 2-sulfolaurate,TEXAPON SFA UP POWDER,Disodium 2-Sulfolaurate,2960.106824925816,1.0,Surfactant,0.00020262693495194374,1422098.5931096193,0.4700036292457356
Customer NA,30674105.0,0.7,hydrogenated polyisobutene,LUVITOL LITE EM,Hydrogenated Polyisobutene,2960.106824925816,1.0,Emollient,0.0002363980907772677,786888.2578786433,0.5306282510621704
Customer Asia,30527976.0,0.75,glyceryl oleate,MONOMULS 90-O 18,Glyceryl Oleate,1828.0,107.0,Emollient,0.0004100601421541826,734429.0406867337,0.5596157879354227
Customer Asia,30530367.0,0.75,ammonium lauryl sulfate,TEXAPON ALS BENZ,Ammonium Lauryl Sulfate,2960.106824925816,1.0,Surfactant,0.0002532836686899297,1137678.8744876955,0.5596157879354227
Customer Asia,30537422.0,0.75,disodium cetearyl sulfosuccinate,EUMULGIN PRISMA,Disodium Cetearyl Sulfosuccinate,2960.106824925816,4.0,Surfactant,0.0002532836686899297,1137678.8744876955,0.5596157879354227
Customer Asia,30604855.0,0.75,cocamidopropyl betaine,EUPERLAN BRIGHT,Cocamidopropyl Betaine (and) Glycol Distearate (and) Sodium Laureth Sulfate,21179.0,988.0,Surfactant,3.5410764872521244e-05,1137678.8744876955,0.5596157879354227
Customer Asia,30604855.0,0.75,glycol distearate,EUPERLAN BRIGHT,Cocamidopropyl Betaine (and) Glycol Distearate (and) Sodium Laureth Sulfate,16086.0,348.0,Emollient,4.662149561757941e-05,734429.0406867337,0.5596157879354227
Customer Asia,30604855.0,0.75,sodium laureth sulfate,EUPERLAN BRIGHT,Cocamidopropyl Betaine (and) Glycol Distearate (and) Sodium Laureth Sulfate,110254.85291100653,907.0,Surfactant,6.802359967278704e-06,1137678.8744876955,0.5596157879354227
Customer Asia,30704673.0,0.75,dibutyl adipate,TINOGARD CP,Dibutyl Adipate (and) Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate,6513.0,402.0,Emollient,0.00011513662879950875,734429.0406867337,0.5596157879354227
Customer Asia,30704673.0,0.75,pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate,TINOGARD CP,Dibutyl Adipate (and) Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate,2960.106824925816,283.0,Antioxidant,0.0002532836686899297,4312.563364783365,0.5596157879354227
Customer Asia,30757117.0,0.75,trisodium dicarboxymethyl alaninate,NEUTROL MGDA,Trisodium Dicarboxymethyl Alaninate,2960.106824925816,1.0,Chelating Agent,0.0002532836686899297,33252.81288614698,0.5596157879354227
Customer SA,30527787.0,0.75,cocoglycerides,MYRITOL 331,Cocoglycerides,2960.106824925816,1.0,Emollient,0.0002532836686899297,734429.0406867337,0.5596157879354227
Customer SA,30527789.0,0.75,cetearyl isononanoate,CETIOL SN,Cetearyl Isononanoate,2960.106824925816,1.0,Emollient,0.0002532836686899297,734429.0406867337,0.5596157879354227
Customer SA,30527880.0,0.75,caprylyl ether,CETIOL OE,Dicaprylyl Ether,,,Emollient,,734429.0406867337,0.5596157879354227
Customer SA,30527880.0,0.75,dicaprylyl ether,CETIOL OE,Dicaprylyl Ether,2960.106824925816,1.0,Emollient,0.0002532836686899297,734429.0406867337,0.5596157879354227
Customer SA,30527889.0,0.75,ppg-1/peg-9 lauryl glycol ether,EUMULGIN L,PPG-1-PEG-9 Lauryl Glycol Ether,,,Solvent,,50951.58206501153,0.5596157879354227
Customer SA,30527889.0,0.75,ppg-1-peg-9 lauryl glycol ether,EUMULGIN L,PPG-1-PEG-9 Lauryl Glycol Ether,2960.106824925816,1.0,Solvent,0.0002532836686899297,50951.58206501153,0.5596157879354227
Customer SA,30527949.0,0.75,oleyl erucate,CETIOL J 600,Oleyl Erucate,2960.106824925816,1.0,Emollient,0.0002532836686899297,734429.0406867337,0.5596157879354227
Customer SA,30532521.0,0.75,laureth-7 citrate,PLANTAPON LC 7,Laureth-7 Citrate,2960.106824925816,1.0,Surfactant,0.0002532836686899297,1137678.8744876955,0.5596157879354227
Customer SA,30533402.0,0.75,disodium cocoyl glutamate,PLANTAPON ACG 50,Sodium Cocoyl Glutamate (INCI declaration in formulations at pH < 8) Disodium Cocoyl Glutamate (as delivered pH 9.5 – 10.5),2960.106824925816,1.0,Surfactant,0.0002532836686899297,1137678.8744876955,0.5596157879354227
Customer SA,30538241.0,0.75,coco-caprylate,CETIOL C 5,Coco-Caprylate,2960.106824925816,1.0,Emollient,0.0002532836686899297,734429.0406867337,0.5596157879354227
Customer SA,30565451.0,0.75,propylene glycol dicaprylate/dicaprate,MYRITOL PGDC,Propylene Glycol Dicaprylate/Dicaprate,2960.106824925816,1.0,Emollient,0.0002532836686899297,734429.0406867337,0.5596157879354227
Customer SA,30604855.0,0.75,cocamidopropyl betaine,EUPERLAN BRIGHT,Cocamidopropyl Betaine (and) Glycol Distearate (and) Sodium Laureth Sulfate,110254.85291100653,176.0,Surfactant,6.802359967278704e-06,1137678.8744876955,0.5596157879354227
Customer SA,30604855.0,0.75,glycol distearate,EUPERLAN BRIGHT,Cocamidopropyl Betaine (and) Glycol Distearate (and) Sodium Laureth Sulfate,6992.0,18.0,Emollient,0.00010725010725010725,734429.0406867337,0.5596157879354227
Customer SA,30604855.0,0.75,sodium laureth sulfate,EUPERLAN BRIGHT,Cocamidopropyl Betaine (and) Glycol Distearate (and) Sodium Laureth Sulfate,110254.85291100653,179.0,Surfactant,6.802359967278704e-06,1137678.8744876955,0.5596157879354227
Customer SA,30607709.0,0.75,cocamide mea,COMPERLAN 100,Cocamide MEA,10592.0,13.0,Surfactant,7.080147267063155e-05,1137678.8744876955,0.5596157879354227
Customer NA,30527866.0,0.75,cetearyl alcohol,EMULGADE PL 68/50,Cetearyl Alcohol (and) Cetearyl Glucoside,3379.0,457.0,Emollient,0.00022189349112426034,734429.0406867337,0.5596157879354227
Customer NA,30527866.0,0.75,cetearyl glucoside,EMULGADE PL 68/50,Cetearyl Alcohol (and) Cetearyl Glucoside,9696.0,274.0,Emulsifier,7.734350830153656e-05,124453.67847376484,0.5596157879354227
Customer NA,30528618.0,0.75,coco-glucoside,LAMESOFT TM BENZ,Coco-Glucoside (and) Glyceryl Oleate (and) Glyceryl Stearate (and) Glycol Distearate,9304.0,439.0,Surfactant,8.060182697474476e-05,1137678.8744876955,0.5596157879354227
Customer NA,30528618.0,0.75,glyceryl oleate,LAMESOFT TM BENZ,Coco-Glucoside (and) Glyceryl Oleate (and) Glyceryl Stearate (and) Glycol Distearate,12281.0,305.0,Emollient,6.106497313141182e-05,734429.0406867337,0.5596157879354227
Customer NA,30528618.0,0.75,glyceryl stearate,LAMESOFT TM BENZ,Coco-Glucoside (and) Glyceryl Oleate (and) Glyceryl Stearate (and) Glycol Distearate,2960.106824925816,9.0,Emollient,0.0002532836686899297,734429.0406867337,0.5596157879354227
Customer NA,30528618.0,0.75,glycol distearate,LAMESOFT TM BENZ,Coco-Glucoside (and) Glyceryl Oleate (and) Glyceryl Stearate (and) Glycol Distearate,4257.0,44.0,Emollient,0.00017613903240958195,734429.0406867337,0.5596157879354227
Customer NA,30533402.0,0.75,disodium cocoyl glutamate,PLANTAPON ACG 50,Sodium Cocoyl Glutamate (INCI declaration in formulations at pH < 8) Disodium Cocoyl Glutamate (as delivered pH 9.5 – 10.5),2960.106824925816,40.0,Surfactant,0.0002532836686899297,1137678.8744876955,0.5596157879354227
Customer Asia,30530404.0,0.8,steareth -21,EUMULGIN S 21,Steareth-21,2960.106824925816,1.0,Emulsifier,0.00027016924660259165,116675.32356915453,0.5877866649021191
Customer Asia,30530404.0,0.8,steareth-21,EUMULGIN S 21,Steareth-21,2960.106824925816,346.0,Emulsifier,0.00027016924660259165,116675.32356915453,0.5877866649021191
Customer Asia,30530562.0,0.8,laureth-23,EUMULGIN LM 23,Laureth-23,2960.106824925816,61.0,Surfactant,0.00027016924660259165,1066573.9448322144,0.5877866649021191
Customer Asia,30795739.0,0.8,xanthan gum,VERDESSENCE XANTHAN,Xanthan Gum,2960.106824925816,1249.3789624421963,Thickener,0.00027016924660259165,2240.8886904761903,0.5877866649021191
Customer SA,30530691.0,0.8,beheneth-25,EUMULGIN BA 25,Beheneth-25,2960.106824925816,1.0,Emulsifier,0.00027016924660259165,116675.32356915453,0.5877866649021191
Customer SA,30549006.0,0.8,tocopherol,COVI-OX T-90 EU C,Tocopherol,,,Antioxidant,,4043.028154484404,0.5877866649021191
Customer NA,30528219.0,0.9,cetearyl alcohol,LANETTE D,Cetearyl Alcohol,3379.0,457.0,Emollient,0.0002662721893491124,612024.2005722781,0.6418538861723948
Customer Asia,30035019.0,1.0,vp/va copolymer,LUVISKOL VA 64 POWDER,VP/VA Copolymer,2394.0,16.0,Film Former,0.0004175365344467641,26701.857770160947,0.6931471805599453
Customer Asia,30035019.0,1.0,vp/va copolymer,LUVISKOL VA64 POWDER,VP/VA Copolymer,2394.0,16.0,Film Former,0.0004175365344467641,26701.857770160947,0.6931471805599453
Customer Asia,30528634.0,1.0,ammonium laureth sulfate,TEXAPON ALS IS,Ammonium Laureth Sulfate,2960.106824925816,1.0,Surfactant,0.00033771155825323957,853259.1558657716,0.6931471805599453
Customer Asia,30538628.0,1.0,sodium coco-sulfate,TEXAPON K 30 UP,Sodium Coco-Sulfate,6241.0,86.0,Surfactant,0.00016020506247997436,853259.1558657716,0.6931471805599453
Customer Asia,30638383.0,1.0,sodium coco-sulfate,SULFOPON 1216 G/MB,Sodium Coco-Sulfate,6241.0,86.0,Surfactant,0.00016020506247997436,853259.1558657716,0.6931471805599453
Customer Asia,30795769.0,1.0,glucomannan,VERDESSENCE GLUCOMANNAN,Glucomannan,2960.106824925816,8.0,Thickener,0.00033771155825323957,1792.7109523809522,0.6931471805599453
Customer EMEA,30530513.0,1.0,cocamidopropyl betaine,DEHYTON K COS,Cocamidopropyl Betaine,510.0,69.0,Surfactant,0.0019569471624266144,853259.1558657716,0.6931471805599453
Customer EMEA,30598533.0,1.0,cocamidopropyl betaine,DEHYTON PK 45 LA,Cocamidopropyl Betaine,510.0,69.0,Surfactant,0.0019569471624266144,853259.1558657716,0.6931471805599453
Customer SA,30527797.0,1.0,polysorbate 20,EUMULGIN SML 20,Polysorbate-20,560.0,6.0,Emulsifier,0.0017825311942959,93340.25885532363,0.6931471805599453
Customer SA,30527797.0,1.0,polysorbate-20,EUMULGIN SML 20,Polysorbate-20,,,Emulsifier,,93340.25885532363,0.6931471805599453
Customer SA,30528526.0,1.0,decyl glucoside,PLANTACARE 2000 UP,Decyl Glucoside,2960.106824925816,7.0,Surfactant,0.00033771155825323957,853259.1558657716,0.6931471805599453
Customer SA,30530373.0,1.0,sodium cocoamphoacetate,DEHYTON MC,Sodium Cocoamphoacetate,2960.106824925816,1.0,Surfactant,0.00033771155825323957,853259.1558657716,0.6931471805599453
Customer SA,30535439.0,1.0,coco glucoside,EUPERLAN PCO,Coco-Glucoside (and) Styrene/Acrylates Copolymer,,,Surfactant,,853259.1558657716,0.6931471805599453
